feature,gain,split
start_agpa_points,660097.1239089966,374
course_avg_mark_historical,601260.6270675659,2462
course_pass_rate_historical,238308.61280441284,1345
prev_gpa_points_clean,178520.2664642334,154
fail_credit_ratio_capped,111513.77038955688,190
course_history_count,85397.91307067871,526
last_valid_gpa_before_current_semester,56886.255432128906,197
course_retake_rate_historical,50396.613441467285,369
degree_requirement_credits_count,29160.940437316895,228
total_fail_credits_capped,27007.141723632812,108
part_semester,24748.06265258789,215
course_share_of_requirement,23043.474922180176,199
course_credits,18182.701557159424,135
requirement_type_id,13445.778087615967,127
attempt_number,3861.218494415283,43
semester_reg_credits,3834.344097137451,52
start_total_in_courses,3826.4666786193848,50
consecutive_interruption_count,2574.9734802246094,27
start_total_in_credits,2354.5651054382324,32
reg_total_semesters,2309.1952781677246,25
start_semester,2242.2505073547363,21
start_level_ord,1293.7282943725586,19
semester_reg_courses,1224.4034004211426,17
prior_interruption_count,522.1446990966797,6
requirement_size_bucket_ord,497.8996047973633,4
prev_gpa_points_missing,77.32209777832031,1
prev_semester_was_interruption,70.9854965209961,1
prev_gpa_points_zero,63.20750045776367,1
is_extreme_fail_history,55.691898345947266,1
requirement_type_missing,39.013099670410156,1
start_level_missing,0.0,0
prev_gpa_invalid_zero_case,0.0,0
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_first_row_in_timeline,0.0,0
is_high_credit_course,0.0,0
course_difficulty_missing,0.0,0
difficulty_fallback_level,0.0,0
degree_requirement_credits_count_missing,0.0,0
