feature,gain,split
start_agpa_points,651843.2184524536,391
course_avg_mark_historical,634638.5373916626,2539
course_pass_rate_historical,201315.55368423462,1208
prev_gpa_points_clean,141625.20817947388,146
fail_credit_ratio_capped,113548.46327972412,175
last_valid_gpa_before_current_semester,104671.34941291809,213
course_history_count,76518.9192867279,525
course_retake_rate_historical,41021.10530090332,357
total_fail_credits_capped,26075.480978012085,120
part_semester,24352.088399887085,210
diploma_gpa,21759.265811920166,142
course_share_of_requirement,21677.727334976196,193
degree_requirement_credits_count,21633.593872070312,223
course_credits,16197.242654800415,132
requirement_type_id,13893.168951034546,135
start_total_in_courses,4135.662281036377,59
attempt_number,4029.851800918579,42
reg_total_semesters,3909.2005195617676,40
semester_reg_credits,3620.138210296631,56
start_total_in_credits,3197.6486892700195,51
consecutive_interruption_count,1793.4601936340332,17
diploma_type_bucket,1188.8156929016113,16
start_semester,1128.2638988494873,16
prior_interruption_count,1001.267406463623,9
start_level_ord,806.5563049316406,14
semester_reg_courses,798.438304901123,12
requirement_size_bucket_ord,694.2610015869141,6
prev_semester_was_interruption,466.9580993652344,5
requirement_type_missing,163.6521987915039,3
is_extreme_fail_history,29.912399291992188,1
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
start_level_missing,0.0,0
is_first_row_in_timeline,0.0,0
prev_gpa_points_missing,0.0,0
prev_gpa_points_zero,0.0,0
prev_gpa_invalid_zero_case,0.0,0
course_difficulty_missing,0.0,0
difficulty_fallback_level,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
