feature,gain,split
start_agpa_points,679803.2600877285,2375
course_avg_mark_historical,365508.56473851204,5843
course_history_count,174273.6961555481,6713
course_pass_rate_historical,167626.07876706123,5693
course_retake_rate_historical,153217.50264382362,5861
fail_credit_ratio_capped,136636.00258922577,1478
prev_gpa_points_clean,132512.4533715248,1680
last_valid_gpa_before_current_semester,124114.42898535728,1459
course_share_of_requirement,83785.05591201782,2558
diploma_gpa,60208.92295384407,2771
degree_requirement_credits_count,49800.670407772064,1574
part_semester,42693.336594343185,1081
start_total_in_credits,37641.28023862839,2129
course_credits,31954.09733748436,1097
total_fail_credits_capped,30693.09498858452,1077
requirement_type_id,30499.92466855049,939
semester_reg_credits,28443.392428159714,1485
start_total_in_courses,27874.01596879959,1427
reg_total_semesters,17550.3816113472,1020
semester_reg_courses,10573.924451112747,719
start_level_ord,7966.093940258026,335
attempt_number,7610.373551130295,331
diploma_type_bucket,4820.920435428619,226
consecutive_interruption_count,4065.9357192516327,122
start_semester,3929.367938041687,180
requirement_size_bucket_ord,3626.2666058540344,65
prior_interruption_count,2700.1983971595764,174
course_difficulty_missing,1465.3258118629456,52
is_first_row_in_timeline,1123.759714603424,26
prev_gpa_points_zero,1046.446050643921,72
prev_semester_was_interruption,764.0322799682617,13
prev_gpa_invalid_zero_case,422.297655582428,32
prev_gpa_points_missing,321.07232666015625,17
is_extreme_fail_history,305.6096901893616,22
requirement_type_missing,179.39669704437256,5
is_high_credit_course,36.05780029296875,1
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
