feature,gain,split
start_agpa_points,279425.01280117035,654
course_pass_rate_historical,121302.39231204987,1727
fail_credit_ratio_capped,107992.46777296066,575
prev_gpa_points_clean,87965.97743415833,535
course_history_count,57720.82527637482,2247
course_avg_mark_historical,53073.27248668671,1705
last_valid_gpa_before_current_semester,42503.87976551056,507
course_retake_rate_historical,40694.256529808044,1777
course_share_of_requirement,23723.68540620804,1002
diploma_gpa,21534.670655727386,818
degree_requirement_credits_count,20071.51985025406,767
part_semester,17951.815732955933,478
gpa_trend_delta,13138.776943683624,668
total_fail_credits_capped,12055.065325737,365
start_total_in_credits,9887.005918979645,547
semester_reg_credits,9467.24875831604,494
start_total_in_courses,8118.700683116913,450
course_credits,7471.198321342468,350
attempt_number,6749.9334926605225,254
reg_total_semesters,5535.1035079956055,294
semester_reg_courses,4721.978941440582,246
requirement_type_id,4685.793296813965,184
consecutive_interruption_count,3762.8936262130737,84
diploma_type_bucket,2600.746066570282,117
prior_interruption_count,2045.3350234031677,80
start_level_ord,1805.798529624939,95
prev_gpa_points_zero,1764.4768614768982,52
prev_gpa_invalid_zero_case,1308.6276321411133,47
start_semester,1076.03005361557,59
requirement_size_bucket_ord,871.8576421737671,33
prev_semester_was_interruption,510.1368980407715,13
course_difficulty_missing,182.32350158691406,9
requirement_type_missing,139.2272605895996,9
prev_gpa_points_missing,136.0797004699707,5
is_extreme_fail_history,117.82290840148926,8
gpa_trend_missing,58.177199363708496,3
is_first_row_in_timeline,54.00759983062744,3
is_first_active_semester,27.388999938964844,1
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
