feature,gain,split
start_agpa_points,599338.4649922848,2394
course_avg_mark_historical,397541.75752806664,6440
prev_gpa_points_clean,209096.20555257797,1952
course_history_count,181985.51257491112,7042
fail_credit_ratio_capped,158181.363666296,1681
course_pass_rate_historical,144397.05123591423,5829
course_retake_rate_historical,143761.93681836128,5704
last_valid_gpa_before_current_semester,117680.14013981819,1364
course_share_of_requirement,81509.69258403778,2688
diploma_gpa,60516.73253440857,2770
degree_requirement_credits_count,56641.44447469711,1688
gpa_trend_delta,42662.47744894028,2373
part_semester,42028.848224163055,1113
start_total_in_credits,37785.148522138596,2230
semester_reg_credits,30939.517658233643,1684
start_total_in_courses,29016.80004787445,1638
course_credits,28616.84446120262,1074
requirement_type_id,26474.661205768585,929
total_fail_credits_capped,21202.1446454525,1156
reg_total_semesters,15828.057827234268,1020
semester_reg_courses,10468.304146289825,720
start_level_ord,7841.286298036575,343
attempt_number,7764.261932373047,332
diploma_type_bucket,4886.907780647278,254
consecutive_interruption_count,4085.8444447517395,108
start_semester,4059.3215765953064,182
prior_interruption_count,3116.4922354221344,212
requirement_size_bucket_ord,2516.0341606140137,46
is_first_row_in_timeline,1220.5904455184937,17
course_difficulty_missing,1077.7247710227966,53
prev_gpa_points_zero,864.8253064155579,54
prev_semester_was_interruption,759.8227963447571,10
prev_gpa_invalid_zero_case,597.6937890052795,39
gpa_trend_missing,383.528715133667,10
is_extreme_fail_history,319.8639178276062,21
prev_gpa_points_missing,225.9642677307129,10
requirement_type_missing,136.54104900360107,5
is_high_credit_course,68.50662994384766,3
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
