feature,gain,split
start_agpa_points,687199.3040001392,3082
course_avg_mark_historical,386852.11384534836,7004
course_history_count,177631.78933787346,7720
prev_gpa_points_clean,170684.89223337173,2191
course_retake_rate_historical,163333.27375769615,6949
course_pass_rate_historical,158084.75244951248,6288
fail_credit_ratio_capped,137690.81566858292,1937
last_valid_gpa_before_current_semester,96571.6751666069,1924
course_share_of_requirement,85234.2680644989,2935
diploma_gpa,67328.00683903694,3660
degree_requirement_credits_count,56090.85481381416,1910
concurrent_peer_difficulty_max,50869.73672127724,3488
gpa_trend_delta,47400.91058254242,3007
part_semester,43639.3364648819,1200
concurrent_peer_difficulty_mean,42490.151482343674,3094
start_total_in_credits,40895.1442091465,2598
semester_reg_credits,32905.37124013901,1911
total_fail_credits_capped,32132.13680768013,1469
course_credits,30963.999303340912,1211
start_total_in_courses,29743.931253671646,1759
requirement_type_id,27093.586980342865,1040
reg_total_semesters,16668.79745364189,1229
semester_reg_courses,11060.858476877213,829
attempt_number,8549.610231637955,422
start_level_ord,8217.04688000679,380
diploma_type_bucket,5120.985640287399,270
start_semester,4637.86456656456,236
consecutive_interruption_count,4109.177203178406,123
prior_interruption_count,3372.9181447029114,249
requirement_size_bucket_ord,3092.96213722229,67
course_difficulty_missing,1196.3321318626404,65
is_first_row_in_timeline,1015.1779689788818,10
prev_semester_was_interruption,907.7280569076538,18
prev_gpa_points_zero,673.2368593215942,59
prev_gpa_invalid_zero_case,573.3160526752472,45
prev_gpa_points_missing,539.8426694869995,15
is_extreme_fail_history,339.92095041275024,27
gpa_trend_missing,209.73488903045654,11
requirement_type_missing,106.66679763793945,2
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
no_previous_progress,0.0,0
concurrent_peer_difficulty_missing,0.0,0
degree_requirement_credits_count_missing,0.0,0
