feature,gain,split
start_agpa_points,295581.5336880684,1265
course_pass_rate_historical,129874.72763228416,2605
fail_credit_ratio_capped,104386.4428536892,1062
prev_gpa_points_clean,103135.99342942238,962
course_history_count,66544.20441317558,3238
course_avg_mark_historical,60758.60012054443,2530
course_retake_rate_historical,50222.561322927475,2818
last_valid_gpa_before_current_semester,31180.340071201324,880
diploma_gpa,28299.813795804977,1610
course_share_of_requirement,26550.31186056137,1294
concurrent_peer_difficulty_max,22391.854878664017,1598
degree_requirement_credits_count,22136.167271614075,1004
concurrent_peer_difficulty_mean,19297.80896449089,1474
part_semester,18543.176127910614,671
gpa_trend_delta,17737.998530864716,1283
total_fail_credits_capped,16675.525421857834,797
start_total_in_credits,15506.025377750397,1059
semester_reg_credits,13269.023356437683,877
start_total_in_courses,10582.339980363846,729
course_credits,9490.96342921257,530
attempt_number,7914.148008823395,372
reg_total_semesters,7195.366232872009,536
requirement_type_id,6010.697150468826,285
semester_reg_courses,5297.473099470139,393
consecutive_interruption_count,3909.036201953888,106
prior_interruption_count,3169.0201122760773,147
diploma_type_bucket,3016.113076210022,150
start_level_ord,1937.1884980201721,136
prev_gpa_points_zero,1847.451250553131,73
start_semester,1485.9197087287903,101
prev_gpa_invalid_zero_case,1302.9952311515808,65
requirement_size_bucket_ord,642.6237721443176,36
course_difficulty_missing,581.0750756263733,30
is_first_row_in_timeline,145.69769954681396,4
gpa_trend_missing,102.24079895019531,8
prev_gpa_points_missing,98.50446033477783,5
prev_semester_was_interruption,83.8987078666687,4
is_extreme_fail_history,53.965699195861816,3
requirement_type_missing,48.10020065307617,3
concurrent_peer_difficulty_missing,8.836259841918945,1
is_high_credit_course,0.0,0
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
