feature,gain,split
start_agpa_points,696261.08477211,944
course_avg_mark_historical,342849.90841293335,3500
course_history_count,139829.48061943054,4148
fail_credit_ratio_capped,134123.60543489456,524
course_pass_rate_historical,129536.59371757507,3332
prev_gpa_points_clean,123595.75557804108,690
course_retake_rate_historical,117788.70983171463,3422
last_valid_gpa_before_current_semester,76356.46262216568,705
course_share_of_requirement,69092.51989412308,1653
degree_requirement_credits_count,53189.2517414093,1163
diploma_gpa,43742.869168281555,958
part_semester,37591.221571445465,749
course_credits,27870.948367595673,756
gpa_trend_delta,25153.841059207916,737
start_total_in_credits,25069.82388830185,930
requirement_type_id,23626.63919019699,627
semester_reg_credits,21141.09355211258,729
total_fail_credits_capped,20598.64930009842,341
start_total_in_courses,19794.446043014526,697
reg_total_semesters,8692.661902427673,361
attempt_number,6892.901963710785,219
semester_reg_courses,5756.490392208099,251
start_level_ord,5513.82706451416,180
consecutive_interruption_count,4274.659948348999,75
diploma_type_bucket,3840.8023643493652,143
start_semester,2974.504125595093,85
requirement_size_bucket_ord,1453.3604073524475,34
course_difficulty_missing,1348.8579921722412,34
prior_interruption_count,1304.8158569335938,50
prev_semester_was_interruption,374.15731287002563,6
prev_gpa_points_missing,370.84630393981934,7
prev_gpa_points_zero,201.58604907989502,13
is_extreme_fail_history,199.87260913848877,14
prev_gpa_invalid_zero_case,193.74679851531982,10
gpa_trend_missing,193.28120040893555,5
requirement_type_missing,81.44319915771484,2
is_first_row_in_timeline,72.9463005065918,4
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
