feature,gain,split
start_agpa_points,309016.28679418564,872
course_pass_rate_historical,120908.76562690735,1937
fail_credit_ratio_capped,100347.19814014435,705
prev_gpa_points_clean,85274.66202449799,649
course_history_count,57043.151515483856,2386
course_avg_mark_historical,56838.42219018936,1888
course_retake_rate_historical,42635.71915388107,2041
last_valid_gpa_before_current_semester,29201.307349681854,614
course_share_of_requirement,26190.57476234436,1126
diploma_gpa,23703.274141311646,1021
degree_requirement_credits_count,18647.46390581131,806
part_semester,18008.09228372574,508
concurrent_peer_difficulty_max,17021.28781938553,1012
total_fail_credits_capped,15266.350721359253,531
concurrent_peer_difficulty_mean,15151.400744438171,912
gpa_trend_delta,14490.328904151917,884
start_total_in_credits,12141.506245613098,758
semester_reg_credits,9942.087349891663,568
start_total_in_courses,8425.342719078064,484
attempt_number,6739.792857408524,258
course_credits,6505.310465335846,333
reg_total_semesters,5935.9781584739685,358
requirement_type_id,5558.414416313171,222
semester_reg_courses,3882.7468729019165,237
consecutive_interruption_count,3572.067080974579,90
diploma_type_bucket,2618.8074827194214,118
prior_interruption_count,2236.854335308075,89
prev_gpa_points_zero,1942.5209956169128,65
start_level_ord,1778.2459950447083,109
requirement_size_bucket_ord,1394.0053777694702,49
prev_gpa_invalid_zero_case,1082.3442482948303,49
start_semester,979.3648405075073,68
prev_semester_was_interruption,439.2616138458252,11
course_difficulty_missing,365.7530517578125,21
is_first_row_in_timeline,284.64723110198975,6
is_extreme_fail_history,101.95395994186401,8
requirement_type_missing,42.273600578308105,3
gpa_trend_missing,32.01380157470703,1
prev_gpa_points_missing,12.98330020904541,1
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
