feature,gain,split
start_agpa_points,605674.7829566002,515
course_avg_mark_historical,311392.0765647888,2028
prev_gpa_points_clean,197689.12851142883,324
fail_credit_ratio_capped,130989.82287883759,278
course_history_count,107499.35577583313,2144
course_pass_rate_historical,93337.32633686066,1645
course_retake_rate_historical,84713.5749411583,1745
last_valid_gpa_before_current_semester,78746.833360672,430
course_share_of_requirement,61139.743309020996,940
degree_requirement_credits_count,39369.33305263519,635
part_semester,35330.77870464325,429
diploma_gpa,35202.4949259758,461
course_credits,22503.555563926697,431
requirement_type_id,22159.16292667389,386
gpa_trend_delta,20956.747491836548,367
concurrent_peer_difficulty_max,16749.76203918457,483
semester_reg_credits,15114.138136863708,345
start_total_in_credits,15091.075736045837,408
total_fail_credits_capped,12874.433323860168,161
concurrent_peer_difficulty_mean,12170.502293586731,358
start_total_in_courses,11649.719418525696,313
reg_total_semesters,6413.87114238739,192
attempt_number,5451.2606563568115,119
start_level_ord,5257.409669876099,103
consecutive_interruption_count,4546.7928676605225,61
semester_reg_courses,2926.1932697296143,95
requirement_size_bucket_ord,2909.029100418091,37
diploma_type_bucket,2767.2324419021606,74
start_semester,2121.4715938568115,34
prior_interruption_count,976.2663040161133,25
course_difficulty_missing,889.7874126434326,20
is_first_row_in_timeline,588.6460056304932,3
prev_gpa_points_missing,326.2212953567505,7
prev_gpa_points_zero,290.9975986480713,9
prev_semester_was_interruption,254.3000020980835,4
requirement_type_missing,229.59510040283203,4
is_extreme_fail_history,184.5814971923828,7
prev_gpa_invalid_zero_case,53.0871000289917,3
is_high_credit_course,22.512300491333008,1
gpa_trend_missing,0.0,0
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
degree_requirement_credits_count_missing,0.0,0
