feature,gain,split
start_agpa_points,554876.2144360542,760
course_avg_mark_historical,343907.15920877457,2652
prev_gpa_points_clean,212738.1794447899,505
fail_credit_ratio_capped,135171.45726919174,463
course_history_count,120777.2779455185,2854
last_valid_gpa_before_current_semester,112478.5421037674,536
course_pass_rate_historical,92937.38188266754,2252
course_retake_rate_historical,89709.31012678146,2281
course_share_of_requirement,68691.20170068741,1198
degree_requirement_credits_count,44578.82537269592,751
diploma_gpa,39785.64379072189,765
part_semester,36799.13461923599,486
gpa_trend_delta,24196.21247625351,618
requirement_type_id,23562.58480501175,514
course_credits,22091.86356830597,520
semester_reg_credits,17501.81913280487,538
start_total_in_credits,17103.335162639618,654
start_total_in_courses,15977.834454774857,497
total_fail_credits_capped,14413.009938240051,299
reg_total_semesters,7778.546751499176,308
attempt_number,6287.521499156952,181
start_level_ord,5953.394855976105,148
consecutive_interruption_count,4802.310251712799,67
semester_reg_courses,4610.851911067963,214
requirement_size_bucket_ord,4146.2910141944885,37
diploma_type_bucket,3311.694203853607,103
start_semester,2537.7727479934692,57
prior_interruption_count,1136.5986623764038,54
course_difficulty_missing,1064.8989744186401,32
prev_semester_was_interruption,831.0942993164062,6
is_extreme_fail_history,372.01677989959717,14
prev_gpa_points_zero,319.9436745643616,14
prev_gpa_points_missing,310.86339950561523,7
prev_gpa_invalid_zero_case,195.60180187225342,7
is_first_row_in_timeline,140.02929782867432,4
requirement_type_missing,80.42000102996826,2
is_high_credit_course,61.26580047607422,2
gpa_trend_missing,0.0,0
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
