feature,gain,split
start_agpa_points,279786.8048233986,757
course_pass_rate_historical,120799.0922908783,1818
fail_credit_ratio_capped,108451.46492052078,688
prev_gpa_points_clean,89026.83321285248,623
course_history_count,58887.99948358536,2455
course_avg_mark_historical,54740.76294517517,1988
last_valid_gpa_before_current_semester,42902.87003517151,507
course_retake_rate_historical,40621.79693317413,1934
course_share_of_requirement,24520.80215024948,1106
diploma_gpa,22048.97080230713,903
degree_requirement_credits_count,19877.687648296356,826
part_semester,18090.794762134552,501
gpa_trend_delta,13862.643589496613,785
total_fail_credits_capped,11882.88227558136,446
start_total_in_credits,11039.659033298492,689
semester_reg_credits,9723.887156486511,541
start_total_in_courses,7756.57736825943,477
attempt_number,6964.580656051636,286
course_credits,6721.433027744293,330
requirement_type_id,5918.681090354919,242
reg_total_semesters,5777.9473304748535,345
semester_reg_courses,4292.172860145569,254
consecutive_interruption_count,3767.7357997894287,85
diploma_type_bucket,2694.877950668335,125
prior_interruption_count,2200.063461303711,82
start_level_ord,2032.1636800765991,112
prev_gpa_invalid_zero_case,1666.3234429359436,65
prev_gpa_points_zero,1231.7697944641113,37
start_semester,1192.7538380622864,72
requirement_size_bucket_ord,515.4075407981873,25
prev_semester_was_interruption,435.7979907989502,11
course_difficulty_missing,335.28781747817993,24
gpa_trend_missing,96.55489921569824,2
requirement_type_missing,57.54949951171875,5
is_first_row_in_timeline,42.8249397277832,3
prev_gpa_points_missing,26.63089942932129,2
is_extreme_fail_history,9.595660209655762,1
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
