feature,gain,split
start_agpa_points,309698.11729192734,1162
course_pass_rate_historical,113867.32676410675,2457
fail_credit_ratio_capped,101766.51425504684,995
prev_gpa_points_clean,89534.51038742065,880
course_avg_mark_historical,69401.4740653038,2515
course_history_count,66791.65368819237,3314
course_retake_rate_historical,49373.79730343819,2685
last_valid_gpa_before_current_semester,29701.603484153748,804
course_share_of_requirement,26700.086122751236,1349
diploma_gpa,26572.205035686493,1494
degree_requirement_credits_count,21504.70649075508,1043
concurrent_peer_difficulty_max,20355.92406964302,1512
part_semester,17935.924222946167,576
concurrent_peer_difficulty_mean,17322.636976242065,1267
gpa_trend_delta,16803.9037668705,1174
total_fail_credits_capped,15747.939863920212,672
start_total_in_credits,13459.935182094574,968
semester_reg_credits,11314.111362934113,758
start_total_in_courses,9802.196901798248,675
course_credits,8184.888439416885,467
reg_total_semesters,7495.720259428024,549
attempt_number,7482.087526798248,343
requirement_type_id,6838.554939746857,355
semester_reg_courses,5224.952016830444,361
consecutive_interruption_count,3397.8065972328186,82
diploma_type_bucket,3363.1656227111816,178
prior_interruption_count,2886.529176235199,136
start_level_ord,2006.6286659240723,133
prev_gpa_points_zero,1915.3413300514221,66
start_semester,1438.2923755645752,99
requirement_size_bucket_ord,1372.234501838684,47
prev_gpa_invalid_zero_case,1079.0148830413818,55
prev_semester_was_interruption,739.1394100189209,8
course_difficulty_missing,477.78609895706177,29
prev_gpa_points_missing,146.19940948486328,7
is_first_row_in_timeline,124.51153087615967,5
gpa_trend_missing,72.10839939117432,3
is_extreme_fail_history,55.154980182647705,5
requirement_type_missing,54.487189292907715,4
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
