feature,gain,split
start_agpa_points,282575.7066216469,730
course_pass_rate_historical,121533.33402299881,1931
fail_credit_ratio_capped,108449.2108578682,624
prev_gpa_points_clean,88172.93505716324,582
course_history_count,56627.19284439087,2472
course_avg_mark_historical,52739.31822824478,1986
last_valid_gpa_before_current_semester,42778.6640496254,515
course_retake_rate_historical,38399.40863895416,1958
course_share_of_requirement,24104.606184482574,1136
diploma_gpa,21021.19102191925,904
degree_requirement_credits_count,19811.253623008728,859
part_semester,17025.330115795135,513
gpa_trend_delta,12377.278772830963,720
total_fail_credits_capped,10948.748377799988,388
start_total_in_credits,9733.300436973572,644
semester_reg_credits,9246.151239395142,538
start_total_in_courses,7606.942636489868,489
course_credits,6816.450692176819,369
requirement_type_id,6443.603830814362,289
attempt_number,6240.108480453491,271
reg_total_semesters,5865.887037277222,350
semester_reg_courses,4295.053587913513,269
consecutive_interruption_count,3413.1466460227966,70
diploma_type_bucket,2683.8027691841125,129
prior_interruption_count,2225.561210632324,80
start_level_ord,1891.9670209884644,111
prev_gpa_points_zero,1537.7980852127075,47
start_semester,1114.1949887275696,70
prev_gpa_invalid_zero_case,893.037525177002,39
requirement_size_bucket_ord,636.0644288063049,32
prev_semester_was_interruption,383.3860559463501,9
course_difficulty_missing,182.3316512107849,14
prev_gpa_points_missing,104.52694129943848,6
gpa_trend_missing,72.23970031738281,1
is_extreme_fail_history,46.69463062286377,4
is_first_row_in_timeline,21.644229888916016,2
requirement_type_missing,10.398099899291992,1
is_first_active_semester,0.0,0
no_previous_progress,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
