feature,gain,split
start_agpa_points,308503.75248765945,731
course_pass_rate_historical,106885.67423963547,1820
fail_credit_ratio_capped,99233.3084988594,652
prev_gpa_points_clean,86473.33281230927,585
course_avg_mark_historical,60555.480147361755,1780
course_history_count,54062.80252838135,2354
course_retake_rate_historical,39623.428171634674,1952
last_valid_gpa_before_current_semester,27210.37307882309,566
course_share_of_requirement,22851.100257873535,1065
diploma_gpa,20592.509919643402,872
degree_requirement_credits_count,18461.937033176422,822
part_semester,16601.10940170288,496
concurrent_peer_difficulty_max,14127.733006954193,874
total_fail_credits_capped,13003.384060382843,399
concurrent_peer_difficulty_mean,12880.067822933197,789
gpa_trend_delta,11837.834791660309,675
start_total_in_credits,10098.443053722382,606
semester_reg_credits,8946.819993495941,517
course_credits,7219.318214893341,380
start_total_in_courses,6994.7228927612305,433
attempt_number,6743.872158050537,289
requirement_type_id,5927.282354831696,278
reg_total_semesters,5240.168101787567,333
semester_reg_courses,3649.911056995392,234
consecutive_interruption_count,3306.1461849212646,79
diploma_type_bucket,2992.8180980682373,145
prior_interruption_count,2237.2936091423035,91
prev_gpa_points_zero,1909.0524048805237,53
start_level_ord,1741.6140689849854,109
requirement_size_bucket_ord,1162.3793125152588,34
start_semester,1126.4652371406555,64
prev_semester_was_interruption,701.1285037994385,6
prev_gpa_invalid_zero_case,638.2325716018677,35
course_difficulty_missing,359.2116684913635,23
is_first_row_in_timeline,131.78070068359375,5
requirement_type_missing,61.211700439453125,5
is_extreme_fail_history,54.20607042312622,6
gpa_trend_missing,47.77470016479492,1
prev_gpa_points_missing,43.44969940185547,2
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
