feature,gain,split
start_agpa_points,309026.083943367,376
course_pass_rate_historical,115854.6467037201,766
fail_credit_ratio_capped,85985.65179300308,279
prev_gpa_points_clean,74961.53003168106,233
course_history_count,38118.720255851746,882
course_avg_mark_historical,36752.10776376724,709
last_valid_gpa_before_current_semester,30785.008898735046,233
course_retake_rate_historical,25631.59344100952,688
diploma_gpa,17564.015635490417,295
course_share_of_requirement,17269.095878601074,415
total_fail_credits_capped,16678.03268146515,183
degree_requirement_credits_count,15991.27740240097,402
part_semester,15696.970279693604,246
gpa_trend_delta,9080.324342727661,266
semester_reg_credits,5945.455522537231,210
attempt_number,5828.182364463806,135
start_total_in_credits,5420.556505680084,213
course_credits,5366.991092681885,158
start_total_in_courses,4941.976781368256,188
requirement_type_id,4469.617030143738,106
consecutive_interruption_count,3404.776167869568,51
reg_total_semesters,2438.022732257843,110
diploma_type_bucket,2372.9156856536865,59
semester_reg_courses,2285.219894886017,95
prior_interruption_count,1755.9649333953857,38
prev_gpa_points_zero,1328.5355920791626,22
start_level_ord,1282.5014939308167,47
requirement_size_bucket_ord,899.191388130188,19
prev_gpa_invalid_zero_case,815.7662544250488,20
prev_semester_was_interruption,705.1729888916016,3
start_semester,499.3396029472351,30
course_difficulty_missing,292.1631021499634,10
prev_gpa_points_missing,208.8004035949707,7
requirement_type_missing,62.38390064239502,3
is_extreme_fail_history,37.62992000579834,3
gpa_trend_missing,0.0,0
no_previous_progress,0.0,0
is_first_row_in_timeline,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
