feature,gain,split
start_agpa_points,275785.62720012665,342
course_pass_rate_historical,117130.70758104324,720
prev_gpa_points_clean,106488.44572782516,201
fail_credit_ratio_capped,97553.11986351013,230
course_history_count,33557.66919898987,716
course_avg_mark_historical,29171.123022079468,570
course_retake_rate_historical,26088.203000068665,688
last_valid_gpa_before_current_semester,23133.055871486664,212
course_share_of_requirement,17038.297650814056,383
diploma_gpa,16901.912489414215,294
part_semester,15046.9347448349,218
degree_requirement_credits_count,12844.372129917145,295
total_fail_credits_capped,12321.669501781464,145
concurrent_peer_difficulty_max,9559.922468185425,282
gpa_trend_delta,7822.597372055054,238
concurrent_peer_difficulty_mean,6091.15171957016,217
attempt_number,6019.961087226868,122
semester_reg_credits,5064.468478679657,165
course_credits,4768.402124404907,133
requirement_type_id,4560.6772813797,104
start_total_in_credits,4545.36056804657,163
start_total_in_courses,4358.695039272308,140
consecutive_interruption_count,3707.613522529602,43
reg_total_semesters,3027.7926077842712,113
diploma_type_bucket,2638.826955795288,62
prior_interruption_count,1975.9059619903564,41
semester_reg_courses,1844.0396161079407,67
start_level_ord,1257.8771677017212,46
prev_gpa_invalid_zero_case,1149.651249408722,25
prev_gpa_points_zero,997.171724319458,15
requirement_size_bucket_ord,726.3783941268921,12
prev_semester_was_interruption,529.3647012710571,7
start_semester,509.2168998718262,16
course_difficulty_missing,360.4251022338867,10
prev_gpa_points_missing,254.02769660949707,8
is_first_row_in_timeline,209.79109954833984,4
requirement_type_missing,39.022440910339355,2
is_extreme_fail_history,7.754449844360352,1
gpa_trend_missing,0.0,0
no_previous_progress,0.0,0
is_first_active_semester,0.0,0
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
