feature,gain,split
start_agpa_points,814166.7036972046,573
course_avg_mark_historical,391466.63039779663,1785
prev_gpa_points_clean,279114.6246871948,339
fail_credit_ratio_capped,196673.67525672913,193
course_history_count,106143.23653316498,1882
course_pass_rate_historical,104347.86032867432,1369
last_valid_gpa_before_current_semester,96833.30290222168,370
course_retake_rate_historical,92657.09804153442,1541
course_share_of_requirement,72891.3833770752,1010
diploma_gpa,44638.65577125549,398
degree_requirement_credits_count,36367.17576789856,546
requirement_type_id,30853.562516212463,449
gpa_trend_delta,29842.064435958862,351
part_semester,29786.72293663025,386
course_credits,28148.53671646118,477
total_fail_credits_capped,19927.49311065674,126
semester_reg_credits,16797.009943962097,324
start_total_in_credits,15878.86462020874,324
start_total_in_courses,15553.484226226807,277
reg_total_semesters,6180.116271972656,106
attempt_number,6082.7123165130615,110
start_level_ord,5361.478706359863,104
requirement_size_bucket_ord,5238.896385192871,57
consecutive_interruption_count,3833.9342193603516,47
diploma_type_bucket,3335.267011642456,58
semester_reg_courses,2702.957606315613,67
start_semester,2129.6098079681396,37
prior_interruption_count,1451.6269817352295,19
prev_gpa_points_missing,664.1870994567871,5
prev_semester_was_interruption,448.7712936401367,3
is_first_row_in_timeline,330.50669860839844,3
course_difficulty_missing,315.7298049926758,8
requirement_type_missing,261.4862976074219,5
gpa_trend_missing,105.70550155639648,2
is_high_credit_course,93.61420059204102,2
prev_gpa_points_zero,88.32519817352295,3
no_previous_progress,0.0,0
prev_gpa_invalid_zero_case,0.0,0
is_first_active_semester,0.0,0
is_extreme_fail_history,0.0,0
degree_requirement_credits_count_missing,0.0,0
