feature,gain,split
start_agpa_points,881636.3780612946,502
course_avg_mark_historical,367634.0474052429,1343
prev_gpa_points_clean,210934.50328826904,313
fail_credit_ratio_capped,175612.69156837463,179
last_valid_gpa_before_current_semester,105793.23985290527,326
course_pass_rate_historical,76522.8093624115,852
course_retake_rate_historical,75627.76272583008,1119
course_history_count,75079.34837722778,1226
course_share_of_requirement,64650.015352249146,794
diploma_gpa,44614.27742767334,295
degree_requirement_credits_count,29584.499895095825,441
part_semester,27790.829263687134,323
gpa_trend_delta,25836.78473854065,283
total_fail_credits_capped,24785.6150932312,91
requirement_type_id,22075.048049926758,320
course_credits,21824.46580505371,335
start_total_in_credits,13120.394748687744,236
concurrent_peer_difficulty_mean,12922.002941131592,239
concurrent_peer_difficulty_max,11954.76208114624,225
semester_reg_credits,11891.031219482422,203
start_total_in_courses,9788.015790939331,174
attempt_number,6288.630140304565,91
reg_total_semesters,4717.761068344116,67
start_level_ord,4593.677398681641,77
requirement_size_bucket_ord,3931.796199798584,32
diploma_type_bucket,3325.2306003570557,52
semester_reg_courses,2929.196605682373,66
consecutive_interruption_count,2633.112783432007,35
prev_gpa_points_missing,2167.4825286865234,10
start_semester,1925.8474159240723,30
prev_semester_was_interruption,1337.7884902954102,9
prior_interruption_count,992.8273983001709,16
requirement_type_missing,376.6074981689453,6
course_difficulty_missing,352.65049934387207,9
is_first_row_in_timeline,329.584997177124,4
gpa_trend_missing,210.76159477233887,4
prev_gpa_points_zero,84.94649887084961,2
no_previous_progress,51.465599060058594,1
is_high_credit_course,34.48139953613281,1
prev_gpa_invalid_zero_case,26.465499877929688,1
is_extreme_fail_history,0.0,0
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
