feature,gain,split
prev_gpa_points_clean,238210.17750620842,1491
start_agpa_points,225743.45539331436,1792
course_pass_rate_historical,164271.24063372612,3441
fail_credit_ratio_capped,163023.18300271034,1431
course_avg_mark_historical,92061.75537228584,3805
course_history_count,89766.85584497452,4612
course_retake_rate_historical,66907.55305361748,3724
last_valid_gpa_before_current_semester,57541.03640961647,1093
diploma_gpa,38433.506167411804,2121
course_share_of_requirement,36572.536868572235,1956
degree_requirement_credits_count,27701.18323802948,1377
gpa_trend_delta,27317.71650671959,1894
start_total_in_credits,22676.866757154465,1678
part_semester,21497.64464187622,786
total_fail_credits_capped,20685.23992037773,1043
semester_reg_credits,16353.308611631393,1175
start_total_in_courses,15960.50066781044,1097
course_credits,12922.176983594894,705
reg_total_semesters,10344.765785217285,803
attempt_number,8684.043610572815,409
semester_reg_courses,8169.400001049042,620
requirement_type_id,7114.231649160385,368
consecutive_interruption_count,4653.094859361649,125
diploma_type_bucket,4175.814799785614,191
prior_interruption_count,3622.9874982833862,201
start_level_ord,2793.0383694171906,177
prev_gpa_points_zero,2149.7103304862976,90
start_semester,1875.2083373069763,144
prev_gpa_invalid_zero_case,1550.303147315979,72
requirement_size_bucket_ord,1193.572476387024,46
course_difficulty_missing,429.6454105377197,34
prev_semester_was_interruption,429.45356845855713,14
is_extreme_fail_history,195.0876989364624,18
prev_gpa_points_missing,139.04399919509888,8
is_first_row_in_timeline,112.01005840301514,6
gpa_trend_missing,73.78070068359375,3
requirement_type_missing,64.59159851074219,4
no_previous_progress,45.94609832763672,1
is_high_credit_course,13.203399658203125,1
is_first_active_semester,0.0,0
degree_requirement_credits_count_missing,0.0,0
