feature,gain,split
prev_gpa_points_clean,226145.09652495384,999
start_agpa_points,207769.82949757576,1220
course_pass_rate_historical,142589.69557738304,2498
fail_credit_ratio_capped,133320.51364326477,1006
last_valid_gpa_before_current_semester,99257.51366472244,745
course_avg_mark_historical,91026.73258090019,2728
course_history_count,73510.331335783,3347
course_retake_rate_historical,57840.954119205475,2717
diploma_gpa,32633.90736103058,1457
course_share_of_requirement,31272.41068840027,1421
concurrent_peer_difficulty_max,24928.6253054142,1557
degree_requirement_credits_count,23529.848875045776,998
total_fail_credits_capped,21597.37078690529,718
gpa_trend_delta,21444.771263837814,1164
part_semester,19364.3226480484,635
start_total_in_credits,18174.186170578003,1154
concurrent_peer_difficulty_mean,17901.315949201584,1227
semester_reg_credits,12759.438068628311,825
start_total_in_courses,12540.861608028412,714
course_credits,9602.173449516296,461
attempt_number,8974.394221305847,333
reg_total_semesters,8100.00528550148,497
requirement_type_id,6565.724426746368,308
prior_interruption_count,5901.614972352982,143
semester_reg_courses,5802.764367818832,361
consecutive_interruption_count,3822.440977573395,115
diploma_type_bucket,3788.8431973457336,144
start_level_ord,2470.5039830207825,133
prev_gpa_points_zero,2231.5386781692505,79
requirement_size_bucket_ord,1842.8900470733643,50
start_semester,1767.3851690292358,112
prev_gpa_invalid_zero_case,1167.0003509521484,47
prev_semester_was_interruption,961.6333913803101,15
course_difficulty_missing,449.63956928253174,27
is_first_row_in_timeline,192.22079753875732,6
is_extreme_fail_history,186.4742112159729,11
prev_gpa_points_missing,116.21808052062988,7
gpa_trend_missing,55.2848801612854,4
requirement_type_missing,34.01013994216919,3
is_first_active_semester,28.982799530029297,1
no_previous_progress,10.405799865722656,1
is_high_credit_course,0.0,0
degree_requirement_credits_count_missing,0.0,0
