new_course_id,new_course_name,new_degree_id,old_course_id,old_course_name,old_degree_id,same_degree,credits_old_new,course_type_old_new,requirement_type_old_new,planned_year_old_new,last_old_semester,first_new_semester,enrolment_overlap,new_valid_row_count,diagnostic_conclusion,review_decision,reviewer_name,review_date,review_notes
1423.111,اللغة الإنكليزية – 1,40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|51.111|52.111|53.111|54.111|55.111|56.111|57.111|58.111|59.111|60.111|61.111|64.111|65.111,391.111,اللغة الإنكليزية 1,18.111,False,3 → 3,3 → 1,1 → 1,1 → 1,20142,20231,False,979,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1175.111,التحليل الرياضي1,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,502.111,التحليل الرياضي 1,21.111|3.111|4.111|5.111|6.111,False,4 → 3,3 → 3,3 → 3,1 → 1,20232,20221,True,917,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1172.111,الرياضيات المتقطعة,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,431.111,الرياضيات المتقطعة,21.111|3.111|4.111|5.111|6.111,False,3 → 3,1 → 3,3 → 3,1 → 1,20232,20221,True,876,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1174.111,الفيزياء1,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,501.111,الفيزياء 1,21.111|3.111|4.111|5.111|6.111,False,3 → 3,3 → 3,3 → 3,1 → 1,20232,20221,True,791,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1179.111,الفيزياء2,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,457.111,الفيزياء 2,5.111|6.111,False,3 → 3,3 → 3,5 → 3,1 → 1,20222,20222,True,759,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1173.111,الجبر الخطي ونظرية المصفوفات,26.111|27.111|29.111|30.111|31.111|45.111|46.111|47.111|48.111|49.111,432.111,الجبر الخطي ونظرية المصفوفات,21.111|3.111|4.111|5.111|6.111,False,4 → 3,3 → 3,3 → 3,1 → 1,20232,20221,True,719,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1422.111,مهارات الحاسوب,40.111|41.111|42.111|44.111|45.111|46.111|47.111|48.111|49.111|50.111|51.111|52.111|53.111|54.111|55.111|56.111|57.111|58.111|59.111|60.111|61.111|64.111|65.111,967.111,مهارات الحاسوب,1.111|10.111|11.111|12.111|13.111|2.111|21.111|22.111|24.111|25.111|26.111|27.111|29.111|3.111|30.111|31.111|33.111|34.111|35.111|36.111|37.111|38.111|39.111|4.111|5.111|6.111|7.111|8.111|9.111,False,3 → 3,3 → 3,1 → 1,1|2 → 1|2|3,20233,20231,True,686,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1365.111,رياضيات الأعمال,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,118.111,رياضيات الأعمال,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,3 → 3,3 → 3,3 → 3,1 → 1,20233,20221,True,638,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1332.111,إدارة الموارد البشرية,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,73.111,إدارة الموارد البشرية,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,3 → 3,1 → 1,3 → 3,2 → 1,20233,20221,True,594,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
1372.111,مبادئ الإدارة,33.111|34.111|35.111|36.111|37.111|38.111|39.111|40.111|51.111|52.111|53.111|54.111|55.111|56.111,70.111,مبادئ الإدارة,10.111|11.111|12.111|22.111|7.111|8.111|9.111,False,2 → 3,1 → 1,3 → 3,1 → 1,20233,20221,True,579,SAME_UNIVERSITY_DIFFERENT_DEGREE,,,,
