university_id,new_course_id,new_course_name,new_course_name_key,new_course_name_stem,new_course_credits,new_course_requirement_type_id,new_course_degree_ids,new_course_family_count,new_course_scope,new_course_valid_rows,old_course_id,old_course_name,old_course_name_key,old_course_credits,credit_change,credit_changed,requirement_type_changed,old_course_degree_ids,old_course_train_support,old_course_train_pass_rate,old_course_train_avg_mark,predecessor_rank,predecessor_count_for_new_course,relationship_type,weight_hint,match_method,scope_confidence,lineage_scope_used,lineage_rank_matched,effective_from_part_id,approval_status,notes,review_decision,reviewer_name,review_date,review_notes
111,99.111,سلوك المستهلك,سلوك مستهلك,سلوك مستهلك,3.0,5,7.111,1,specific,46,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,101.111,إدارة المشتريات والتخزين,اداره مشتريات والتخزين,اداره مشتريات والتخزين,3.0,5,7.111|9.111,2,specific,50,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,102.111,التسويق المباشر,تسويق مباشر,تسويق مباشر,3.0,5,7.111,1,specific,32,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,103.111,تسويق الخدمات,تسويق خدمات,تسويق خدمات,3.0,5,7.111|9.111,2,specific,54,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20221,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,104.111,إدارة النقل,اداره نقل,اداره نقل,3.0,5,7.111,1,specific,51,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20222,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,105.111,ادارة  الترويج والاعلان,اداره ترويج والاعلان,اداره ترويج والاعلان,3.0,5,7.111,1,specific,48,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20222,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,106.111,إدارة العلاقة مع الزبائن,اداره علاقه مع زباين,اداره علاقه مع زباين,3.0,5,7.111|9.111,2,specific,49,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20222,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,107.111,تصميم المنتج والتسعير,تصميم منتج والتسعير,تصميم منتج والتسعير,3.0,5,7.111,1,specific,46,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20222,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,108.111,بحوث ونظم المعلومات التسويقية,بحوث ونظم معلومات تسويقيه,بحوث ونظم معلومات تسويقيه,3.0,5,7.111,1,specific,23,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20232,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
111,109.111,إدارة التجزئة,اداره تجزيه,اداره تجزيه,3.0,5,7.111,1,specific,32,,,,,,unknown,unknown,,,,,,0,none,,none,,7.111,,20231,pending,No TRAIN-present normalized-name predecessor exists in the catalog after structural exclusions.,,,,
